,,,,,,,,
,,,,,,,,
  Zon : Pulau Aur dan Pemanggil,,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,5:34,5:44,7:06,13:07,16:31,19:06,20:20
2,2/1/2017,5:34,5:44,7:07,13:08,16:31,19:06,20:21
3,3/1/2017,5:35,5:45,7:07,13:08,16:32,19:07,20:21
4,4/1/2017,5:35,5:45,7:08,13:09,16:32,19:07,20:22
5,5/1/2017,5:36,5:46,7:08,13:09,16:32,19:08,20:22
6,6/1/2017,5:36,5:46,7:08,13:10,16:33,19:08,20:22
7,7/1/2017,5:37,5:47,7:09,13:10,16:33,19:08,20:23
8,8/1/2017,5:37,5:47,7:09,13:11,16:34,19:09,20:23
9,9/1/2017,5:38,5:48,7:10,13:11,16:34,19:09,20:24
10,10/1/2017,5:38,5:48,7:10,13:12,16:35,19:10,20:24
11,11/1/2017,5:39,5:49,7:10,13:12,16:35,19:10,20:24
12,12/1/2017,5:39,5:49,7:11,13:12,16:35,19:11,20:25
13,13/1/2017,5:40,5:50,7:11,13:13,16:36,19:11,20:25
14,14/1/2017,5:40,5:50,7:11,13:13,16:36,19:12,20:25
15,15/1/2017,5:40,5:50,7:12,13:13,16:36,19:12,20:26
16,16/1/2017,5:41,5:51,7:12,13:14,16:37,19:12,20:26
17,17/1/2017,5:41,5:51,7:12,13:14,16:37,19:13,20:26
18,18/1/2017,5:42,5:52,7:13,13:14,16:37,19:13,20:26
19,19/1/2017,5:42,5:52,7:13,13:15,16:37,19:13,20:27
20,20/1/2017,5:42,5:52,7:13,13:15,16:38,19:14,20:27
21,21/1/2017,5:43,5:53,7:14,13:15,16:38,19:14,20:27
22,22/1/2017,5:43,5:53,7:14,13:16,16:38,19:14,20:27
23,23/1/2017,5:44,5:54,7:14,13:16,16:38,19:15,20:28
24,24/1/2017,5:44,5:54,7:14,13:16,16:38,19:15,20:28
25,25/1/2017,5:44,5:54,7:14,13:16,16:39,19:15,20:28
26,26/1/2017,5:45,5:55,7:15,13:17,16:39,19:16,20:28
27,27/1/2017,5:45,5:55,7:15,13:17,16:39,19:16,20:28
28,28/1/2017,5:45,5:55,7:15,13:17,16:39,19:16,20:28
29,29/1/2017,5:45,5:55,7:15,13:17,16:39,19:16,20:29
30,30/1/2017,5:46,5:56,7:15,13:17,16:39,19:17,20:29
31,31/1/2017,5:46,5:56,7:15,13:18,16:39,19:17,20:29
32,1/2/2017,5:46,5:56,7:15,13:18,16:39,19:17,20:29
33,2/2/2017,5:46,5:56,7:15,13:18,16:39,19:17,20:29
34,3/2/2017,5:46,5:56,7:16,13:18,16:39,19:17,20:29
35,4/2/2017,5:47,5:57,7:16,13:18,16:39,19:17,20:29
36,5/2/2017,5:47,5:57,7:16,13:18,16:39,19:18,20:29
37,6/2/2017,5:47,5:57,7:16,13:18,16:39,19:18,20:29
38,7/2/2017,5:47,5:57,7:16,13:18,16:39,19:18,20:29
39,8/2/2017,5:47,5:57,7:16,13:18,16:39,19:18,20:29
40,9/2/2017,5:47,5:57,7:16,13:18,16:39,19:18,20:29
41,10/2/2017,5:47,5:57,7:16,13:19,16:38,19:18,20:29
42,11/2/2017,5:48,5:58,7:16,13:19,16:38,19:18,20:29
43,12/2/2017,5:48,5:58,7:16,13:19,16:38,19:18,20:29
44,13/2/2017,5:48,5:58,7:16,13:19,16:38,19:18,20:29
45,14/2/2017,5:48,5:58,7:15,13:19,16:37,19:18,20:29
46,15/2/2017,5:48,5:58,7:15,13:18,16:37,19:18,20:29
47,16/2/2017,5:48,5:58,7:15,13:18,16:37,19:18,20:29
48,17/2/2017,5:48,5:58,7:15,13:18,16:37,19:18,20:29
49,18/2/2017,5:48,5:58,7:15,13:18,16:36,19:18,20:29
50,19/2/2017,5:48,5:58,7:15,13:18,16:36,19:18,20:29
