,,,,,,,,
,,,,,,,,
"  Zon : Bandar Melaka, Alor Gajah, Jasin, Masjid Tanah, Merlimau, Nyalas",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,5:43,5:53,7:16,13:17,16:40,19:16,20:30
2,2/1/2017,5:44,5:54,7:16,13:18,16:41,19:16,20:31
3,3/1/2017,5:44,5:54,7:16,13:18,16:41,19:17,20:31
4,4/1/2017,5:45,5:55,7:17,13:19,16:42,19:17,20:32
5,5/1/2017,5:45,5:55,7:17,13:19,16:42,19:18,20:32
6,6/1/2017,5:46,5:56,7:18,13:19,16:43,19:18,20:32
7,7/1/2017,5:46,5:56,7:18,13:20,16:43,19:19,20:33
8,8/1/2017,5:47,5:57,7:19,13:20,16:43,19:19,20:33
9,9/1/2017,5:47,5:57,7:19,13:21,16:44,19:19,20:34
10,10/1/2017,5:48,5:58,7:19,13:21,16:44,19:20,20:34
11,11/1/2017,5:48,5:58,7:20,13:22,16:45,19:20,20:34
12,12/1/2017,5:48,5:58,7:20,13:22,16:45,19:21,20:35
13,13/1/2017,5:49,5:59,7:20,13:22,16:45,19:21,20:35
14,14/1/2017,5:49,5:59,7:21,13:23,16:46,19:21,20:35
15,15/1/2017,5:50,6:00,7:21,13:23,16:46,19:22,20:35
16,16/1/2017,5:50,6:00,7:21,13:23,16:46,19:22,20:36
17,17/1/2017,5:51,6:01,7:22,13:24,16:46,19:23,20:36
18,18/1/2017,5:51,6:01,7:22,13:24,16:47,19:23,20:36
19,19/1/2017,5:51,6:01,7:22,13:24,16:47,19:23,20:37
20,20/1/2017,5:52,6:02,7:22,13:25,16:47,19:24,20:37
21,21/1/2017,5:52,6:02,7:23,13:25,16:47,19:24,20:37
22,22/1/2017,5:52,6:02,7:23,13:25,16:48,19:24,20:37
23,23/1/2017,5:53,6:03,7:23,13:25,16:48,19:25,20:37
24,24/1/2017,5:53,6:03,7:23,13:26,16:48,19:25,20:38
25,25/1/2017,5:53,6:03,7:24,13:26,16:48,19:25,20:38
26,26/1/2017,5:54,6:04,7:24,13:26,16:48,19:25,20:38
27,27/1/2017,5:54,6:04,7:24,13:26,16:48,19:26,20:38
28,28/1/2017,5:54,6:04,7:24,13:27,16:48,19:26,20:38
29,29/1/2017,5:55,6:05,7:24,13:27,16:48,19:26,20:38
30,30/1/2017,5:55,6:05,7:24,13:27,16:48,19:26,20:38
31,31/1/2017,5:55,6:05,7:24,13:27,16:48,19:27,20:38
32,1/2/2017,5:55,6:05,7:25,13:27,16:48,19:27,20:39
33,2/2/2017,5:56,6:06,7:25,13:27,16:48,19:27,20:39
34,3/2/2017,5:56,6:06,7:25,13:27,16:48,19:27,20:39
35,4/2/2017,5:56,6:06,7:25,13:28,16:48,19:27,20:39
36,5/2/2017,5:56,6:06,7:25,13:28,16:48,19:27,20:39
37,6/2/2017,5:56,6:06,7:25,13:28,16:48,19:27,20:39
38,7/2/2017,5:56,6:06,7:25,13:28,16:48,19:28,20:39
39,8/2/2017,5:56,6:06,7:25,13:28,16:48,19:28,20:39
40,9/2/2017,5:57,6:07,7:25,13:28,16:48,19:28,20:39
41,10/2/2017,5:57,6:07,7:25,13:28,16:47,19:28,20:39
