"2020-00-06","5;37","5:47","7:06","13:05","16:26","19:00","20;13"
"2017-01-01","5:56","6:06","7:26","13:24","16:47","19:18","20:33"
"2017-01-02","5:56","6:06","7:27","13:25","16:47","19:19","20:33"
"2017-01-03","5:57","6:07","7:27","13:25","16:48","19:19","20:34"
"2017-01-04","5:57","6:07","7:27","13:26","16:48","19:20","20:34"
"2017-01-05","5:58","6:08","7:28","13:26","16:48","19:20","20:35"
"2017-01-06","5:58","6:08","7:28","13:27","16:49","19:21","20:35"
"2017-01-07","5:59","6:09","7:29","13:27","16:49","19:21","20:35"
"2017-01-08","5:59","6:09","7:29","13:28","16:50","19:22","20:36"
"2017-01-09","6:00","6:10","7:29","13:28","16:50","19:22","20:36"
"2017-01-10","6:00","6:10","7:30","13:28","16:51","19:22","20:37"
"2017-01-11","6:01","6:11","7:30","13:29","16:51","19:23","20:37"
"2017-01-12","6:01","6:11","7:30","13:29","16:51","19:23","20:37"
"2017-01-13","6:01","6:11","7:31","13:30","16:52","19:24","20:38"
"2017-01-14","6:02","6:12","7:31","13:30","16:52","19:24","20:38"
"2017-01-15","6:02","6:12","7:31","13:30","16:52","19:25","20:38"
"2017-01-16","6:02","6:12","7:31","13:31","16:53","19:25","20:39"
"2017-01-17","6:03","6:13","7:32","13:31","16:53","19:26","20:39"
"2017-01-18","6:03","6:13","7:32","13:31","16:53","19:26","20:39"
"2017-01-19","6:03","6:13","7:32","13:32","16:54","19:26","20:40"
"2017-01-20","6:04","6:14","7:32","13:32","16:54","19:27","20:40"
"2017-01-21","6:04","6:14","7:33","13:32","16:54","19:27","20:40"
"2017-01-22","6:04","6:14","7:33","13:32","16:54","19:27","20:40"
"2017-01-23","6:05","6:15","7:33","13:33","16:55","19:28","20:41"
"2017-01-24","6:05","6:15","7:33","13:33","16:55","19:28","20:41"
"2017-01-25","6:05","6:15","7:33","13:33","16:55","19:28","20:41"
"2017-01-26","6:05","6:15","7:33","13:33","16:55","19:29","20:41"
"2017-01-27","6:06","6:16","7:33","13:34","16:55","19:29","20:42"
"2017-01-28","6:06","6:16","7:33","13:34","16:56","19:29","20:42"
"2017-01-29","6:06","6:16","7:34","13:34","16:56","19:30","20:42"
"2017-01-30","6:06","6:16","7:34","13:34","16:56","19:30","20:42"
"2017-01-31","6:06","6:16","7:34","13:34","16:56","19:30","20:42"
"2017-02-01","6:06","6:16","7:34","13:34","16:56","19:30","20:42"
"2017-02-02","6:07","6:17","7:34","13:35","16:56","19:31","20:42"
"2017-02-03","6:07","6:17","7:34","13:35","16:56","19:31","20:43"
"2017-02-04","6:07","6:17","7:34","13:35","16:56","19:31","20:43"
"2017-02-05","6:07","6:17","7:34","13:35","16:56","19:31","20:43"
"2017-02-06","6:07","6:17","7:34","13:35","16:56","19:31","20:43"
"2017-02-07","6:07","6:17","7:33","13:35","16:56","19:32","20:43"
"2017-02-08","6:07","6:17","7:33","13:35","16:56","19:32","20:43"
"2017-02-09","6:07","6:17","7:33","13:35","16:56","19:32","20:43"
"2017-02-10","6:07","6:17","7:33","13:35","16:55","19:32","20:43"
"2017-02-11","6:07","6:17","7:33","13:35","16:55","19:32","20:43"
"2017-02-12","6:07","6:17","7:33","13:35","16:55","19:32","20:43"
"2017-02-13","6:07","6:17","7:33","13:35","16:55","19:32","20:43"
"2017-02-14","6:07","6:17","7:33","13:35","16:55","19:33","20:43"
"2017-02-15","6:07","6:17","7:32","13:35","16:55","19:33","20:43"
"2017-02-16","6:07","6:17","7:32","13:35","16:54","19:33","20:43"
"2017-02-17","6:06","6:16","7:32","13:35","16:54","19:33","20:43"
"2017-02-18","6:06","6:16","7:32","13:35","16:54","19:33","20:43"
"2017-02-19","6:06","6:16","7:32","13:35","16:53","19:33","20:43"
"2017-02-20","6:06","6:16","7:31","13:35","16:53","19:33","20:43"
"2017-02-21","6:06","6:16","7:31","13:34","16:53","19:33","20:43"
"2017-02-22","6:06","6:16","7:31","13:34","16:52","19:33","20:43"
"2017-02-23","6:05","6:15","7:31","13:34","16:52","19:33","20:43"
"2017-02-24","6:05","6:15","7:30","13:34","16:52","19:33","20:43"
"2017-02-25","6:05","6:15","7:30","13:34","16:51","19:33","20:43"
"2017-02-26","6:05","6:15","7:30","13:34","16:51","19:33","20:42"
"2017-02-27","6:04","6:14","7:29","13:34","16:50","19:33","20:42"
"2017-02-28","6:04","6:14","7:29","13:33","16:50","19:33","20:42"
"2017-03-01","6:04","6:14","7:29","13:33","16:49","19:33","20:42"
"2017-03-02","6:04","6:14","7:28","13:33","16:49","19:33","20:42"
"2017-03-03","6:03","6:13","7:28","13:33","16:48","19:33","20:42"
"2017-03-04","6:03","6:13","7:28","13:33","16:48","19:32","20:42"
"2017-03-05","6:03","6:13","7:27","13:32","16:47","19:32","20:42"
"2017-03-06","6:02","6:12","7:27","13:32","16:47","19:32","20:42"
"2017-03-07","6:02","6:12","7:27","13:32","16:46","19:32","20:41"
"2017-03-08","6:02","6:12","7:26","13:32","16:45","19:32","20:41"
"2017-03-09","6:01","6:11","7:26","13:31","16:45","19:32","20:41"
"2017-03-10","6:01","6:11","7:25","13:31","16:44","19:32","20:41"
"2017-03-11","6:00","6:10","7:25","13:31","16:43","19:32","20:41"
"2017-03-12","6:00","6:10","7:25","13:31","16:43","19:32","20:41"
"2017-03-13","6:00","6:10","7:24","13:30","16:42","19:32","20:41"
"2017-03-14","5:59","6:09","7:24","13:30","16:41","19:31","20:40"
"2017-03-15","5:59","6:09","7:23","13:30","16:40","19:31","20:40"
"2017-03-16","5:58","6:08","7:23","13:29","16:40","19:31","20:40"
"2017-03-17","5:58","6:08","7:22","13:29","16:39","19:31","20:40"
"2017-03-18","5:58","6:08","7:22","13:29","16:38","19:31","20:40"
"2017-03-19","5:57","6:07","7:22","13:29","16:37","19:31","20:40"
"2017-03-20","5:57","6:07","7:21","13:28","16:36","19:31","20:40"
"2017-03-21","5:56","6:06","7:21","13:28","16:36","19:30","20:39"
"2017-03-22","5:56","6:06","7:20","13:28","16:35","19:30","20:39"
"2017-03-23","5:55","6:05","7:20","13:27","16:34","19:30","20:39"
"2017-03-24","5:55","6:05","7:19","13:27","16:33","19:30","20:39"
"2017-03-25","5:54","6:04","7:19","13:27","16:32","19:30","20:39"
"2017-03-26","5:54","6:04","7:18","13:27","16:31","19:30","20:39"
"2017-03-27","5:53","6:03","7:18","13:26","16:30","19:30","20:39"
"2017-03-28","5:53","6:03","7:18","13:26","16:29","19:29","20:39"
"2017-03-29","5:52","6:02","7:17","13:26","16:28","19:29","20:38"
"2017-03-30","5:52","6:02","7:17","13:25","16:27","19:29","20:38"
"2017-03-31","5:51","6:01","7:16","13:25","16:27","19:29","20:38"
"2017-04-01","5:51","6:01","7:16","13:25","16:26","19:29","20:38"
"2017-04-02","5:50","6:00","7:15","13:24","16:25","19:29","20:38"
"2017-04-03","5:50","6:00","7:15","13:24","16:24","19:28","20:38"
"2017-04-04","5:49","5:59","7:14","13:24","16:25","19:28","20:38"
"2017-04-05","5:49","5:59","7:14","13:24","16:25","19:28","20:38"
"2017-04-06","5:48","5:58","7:14","13:23","16:26","19:28","20:38"
"2017-04-07","5:48","5:58","7:13","13:23","16:26","19:28","20:38"
"2017-04-08","5:47","5:57","7:13","13:23","16:27","19:28","20:38"
"2017-04-09","5:47","5:57","7:12","13:22","16:27","19:28","20:37"
"2017-04-10","5:46","5:56","7:12","13:22","16:27","19:28","20:37"
"2017-04-11","5:46","5:56","7:11","13:22","16:28","19:27","20:37"
"2017-04-12","5:45","5:55","7:11","13:22","16:28","19:27","20:37"
"2017-04-13","5:45","5:55","7:11","13:21","16:29","19:27","20:37"
"2017-04-14","5:44","5:54","7:10","13:21","16:29","19:27","20:37"
"2017-04-15","5:44","5:54","7:10","13:21","16:29","19:27","20:37"
"2017-04-16","5:43","5:53","7:10","13:21","16:30","19:27","20:37"
"2017-04-17","5:43","5:53","7:09","13:20","16:30","19:27","20:37"
"2017-04-18","5:43","5:53","7:09","13:20","16:31","19:27","20:37"
"2017-04-19","5:42","5:52","7:08","13:20","16:31","19:27","20:37"
"2017-04-20","5:42","5:52","7:08","13:20","16:31","19:27","20:37"
"2017-04-21","5:41","5:51","7:08","13:20","16:32","19:27","20:37"
"2017-04-22","5:41","5:51","7:07","13:19","16:32","19:26","20:37"
"2017-04-23","5:40","5:50","7:07","13:19","16:32","19:26","20:38"
