,,,,,,,,
,,,,,,,,
"  Zon : Ipoh, Batu Gajah, Kampar, Sg. Siput dan Kuala Kangsar",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,5:52,6:02,7:22,13:22,16:45,19:17,20:32
2,2/1/2017,5:53,6:03,7:22,13:23,16:45,19:18,20:32
3,3/1/2017,5:53,6:03,7:23,13:23,16:46,19:18,20:33
4,4/1/2017,5:54,6:04,7:23,13:24,16:46,19:19,20:33
5,5/1/2017,5:54,6:04,7:24,13:24,16:47,19:19,20:34
6,6/1/2017,5:55,6:05,7:24,13:25,16:47,19:20,20:34
7,7/1/2017,5:55,6:05,7:24,13:25,16:48,19:20,20:34
8,8/1/2017,5:56,6:06,7:25,13:25,16:48,19:21,20:35
9,9/1/2017,5:56,6:06,7:25,13:26,16:48,19:21,20:35
10,10/1/2017,5:57,6:07,7:25,13:26,16:49,19:22,20:36
11,11/1/2017,5:57,6:07,7:26,13:27,16:49,19:22,20:36
12,12/1/2017,5:57,6:07,7:26,13:27,16:50,19:22,20:36
13,13/1/2017,5:58,6:08,7:26,13:27,16:50,19:23,20:37
14,14/1/2017,5:58,6:08,7:27,13:28,16:50,19:23,20:37
15,15/1/2017,5:59,6:09,7:27,13:28,16:51,19:24,20:37
16,16/1/2017,5:59,6:09,7:27,13:28,16:51,19:24,20:38
17,17/1/2017,5:59,6:09,7:27,13:29,16:51,19:25,20:38
18,18/1/2017,6:00,6:10,7:28,13:29,16:52,19:25,20:38
19,19/1/2017,6:00,6:10,7:28,13:29,16:52,19:25,20:39
20,20/1/2017,6:00,6:10,7:28,13:30,16:52,19:26,20:39
21,21/1/2017,6:01,6:11,7:28,13:30,16:52,19:26,20:39
22,22/1/2017,6:01,6:11,7:29,13:30,16:53,19:26,20:39
23,23/1/2017,6:01,6:11,7:29,13:31,16:53,19:27,20:40
24,24/1/2017,6:01,6:11,7:29,13:31,16:53,19:27,20:40
25,25/1/2017,6:02,6:12,7:29,13:31,16:53,19:27,20:40
26,26/1/2017,6:02,6:12,7:29,13:31,16:53,19:28,20:40
27,27/1/2017,6:02,6:12,7:29,13:31,16:53,19:28,20:40
28,28/1/2017,6:02,6:12,7:29,13:32,16:54,19:28,20:41
29,29/1/2017,6:03,6:13,7:29,13:32,16:54,19:28,20:41
30,30/1/2017,6:03,6:13,7:29,13:32,16:54,19:29,20:41
31,31/1/2017,6:03,6:13,7:30,13:32,16:54,19:29,20:41
32,1/2/2017,6:03,6:13,7:30,13:32,16:54,19:29,20:41
33,2/2/2017,6:03,6:13,7:30,13:32,16:54,19:29,20:41
34,3/2/2017,6:03,6:13,7:30,13:33,16:54,19:30,20:41
35,4/2/2017,6:04,6:14,7:30,13:33,16:54,19:30,20:41
36,5/2/2017,6:04,6:14,7:30,13:33,16:54,19:30,20:41
37,6/2/2017,6:04,6:14,7:30,13:33,16:54,19:30,20:41
38,7/2/2017,6:04,6:14,7:29,13:33,16:54,19:30,20:42
39,8/2/2017,6:04,6:14,7:29,13:33,16:53,19:30,20:42
40,9/2/2017,6:04,6:14,7:29,13:33,16:53,19:31,20:42
41,10/2/2017,6:04,6:14,7:29,13:33,16:53,19:31,20:42
