,,,,,,,,
,,,,,,,,
"  Zon : Zon 1 - Sandakan, Bdr. Bkt. Garam, Semawang, Temanggong, Tambisan",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,4:45,4:55,6:18,12:14,15:35,18:07,19:22
2,2/1/2017,4:46,4:56,6:18,12:14,15:36,18:08,19:22
3,3/1/2017,4:46,4:56,6:18,12:15,15:36,18:08,19:23
4,4/1/2017,4:47,4:57,6:19,12:15,15:37,18:09,19:23
5,5/1/2017,4:47,4:57,6:19,12:16,15:37,18:09,19:24
6,6/1/2017,4:48,4:58,6:20,12:16,15:38,18:10,19:24
7,7/1/2017,4:48,4:58,6:20,12:17,15:38,18:10,19:24
8,8/1/2017,4:49,4:59,6:20,12:17,15:39,18:11,19:25
9,9/1/2017,4:49,4:59,6:21,12:18,15:39,18:11,19:25
10,10/1/2017,4:49,4:59,6:21,12:18,15:39,18:12,19:26
11,11/1/2017,4:50,5:00,6:21,12:18,15:40,18:12,19:26
12,12/1/2017,4:50,5:00,6:22,12:19,15:40,18:13,19:26
13,13/1/2017,4:51,5:01,6:22,12:19,15:41,18:13,19:27
14,14/1/2017,4:51,5:01,6:22,12:19,15:41,18:13,19:27
15,15/1/2017,4:51,5:01,6:23,12:20,15:41,18:14,19:28
16,16/1/2017,4:52,5:02,6:23,12:20,15:42,18:14,19:28
17,17/1/2017,4:52,5:02,6:23,12:20,15:42,18:15,19:28
18,18/1/2017,4:52,5:02,6:23,12:21,15:42,18:15,19:28
19,19/1/2017,4:53,5:03,6:24,12:21,15:43,18:15,19:29
20,20/1/2017,4:53,5:03,6:24,12:21,15:43,18:16,19:29
21,21/1/2017,4:53,5:03,6:24,12:22,15:43,18:16,19:29
22,22/1/2017,4:54,5:04,6:24,12:22,15:43,18:17,19:30
23,23/1/2017,4:54,5:04,6:24,12:22,15:44,18:17,19:30
24,24/1/2017,4:54,5:04,6:24,12:22,15:44,18:17,19:30
25,25/1/2017,4:55,5:05,6:25,12:23,15:44,18:18,19:30
26,26/1/2017,4:55,5:05,6:25,12:23,15:44,18:18,19:31
27,27/1/2017,4:55,5:05,6:25,12:23,15:44,18:18,19:31
28,28/1/2017,4:55,5:05,6:25,12:23,15:44,18:19,19:31
29,29/1/2017,4:55,5:05,6:25,12:24,15:45,18:19,19:31
30,30/1/2017,4:56,5:06,6:25,12:24,15:45,18:19,19:31
31,31/1/2017,4:56,5:06,6:25,12:24,15:45,18:19,19:31
32,1/2/2017,4:56,5:06,6:25,12:24,15:45,18:20,19:32
33,2/2/2017,4:56,5:06,6:25,12:24,15:45,18:20,19:32
34,3/2/2017,4:56,5:06,6:25,12:24,15:45,18:20,19:32
35,4/2/2017,4:56,5:06,6:25,12:24,15:45,18:20,19:32
36,5/2/2017,4:56,5:06,6:25,12:24,15:45,18:21,19:32
37,6/2/2017,4:56,5:06,6:25,12:24,15:45,18:21,19:32
38,7/2/2017,4:56,5:06,6:25,12:25,15:45,18:21,19:32
39,8/2/2017,4:56,5:06,6:25,12:25,15:45,18:21,19:32
40,9/2/2017,4:56,5:06,6:25,12:25,15:45,18:21,19:32
41,10/2/2017,4:56,5:06,6:25,12:25,15:45,18:21,19:32
