,,,,,,,,
,,,,,,,,
"  Zon : Zon 1 - Limbang, Sundar, Trusan, Lawas",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,4:56,5:06,6:24,12:26,15:48,18:20,19:35
2,2/1/2017,4:56,5:06,6:25,12:26,15:48,18:21,19:35
3,3/1/2017,4:57,5:07,6:25,12:27,15:49,18:21,19:36
4,4/1/2017,4:57,5:07,6:26,12:27,15:49,18:22,19:36
5,5/1/2017,4:58,5:08,6:26,12:28,15:50,18:22,19:37
6,6/1/2017,4:58,5:08,6:26,12:28,15:50,18:23,19:37
7,7/1/2017,4:59,5:09,6:27,12:29,15:50,18:23,19:38
8,8/1/2017,4:59,5:09,6:27,12:29,15:51,18:24,19:38
9,9/1/2017,5:00,5:10,6:27,12:29,15:51,18:24,19:38
10,10/1/2017,5:00,5:10,6:28,12:30,15:52,18:25,19:39
11,11/1/2017,5:01,5:11,6:28,12:30,15:52,18:25,19:39
12,12/1/2017,5:01,5:11,6:28,12:31,15:52,18:26,19:39
13,13/1/2017,5:01,5:11,6:29,12:31,15:53,18:26,19:40
14,14/1/2017,5:02,5:12,6:29,12:31,15:53,18:26,19:40
15,15/1/2017,5:02,5:12,6:29,12:32,15:54,18:27,19:40
16,16/1/2017,5:03,5:13,6:30,12:32,15:54,18:27,19:41
17,17/1/2017,5:03,5:13,6:30,12:32,15:54,18:28,19:41
18,18/1/2017,5:03,5:13,6:30,12:33,15:54,18:28,19:41
19,19/1/2017,5:04,5:14,6:30,12:33,15:55,18:28,19:42
20,20/1/2017,5:04,5:14,6:31,12:33,15:55,18:29,19:42
21,21/1/2017,5:04,5:14,6:31,12:34,15:55,18:29,19:42
22,22/1/2017,5:05,5:15,6:31,12:34,15:55,18:30,19:42
23,23/1/2017,5:05,5:15,6:31,12:34,15:56,18:30,19:43
24,24/1/2017,5:05,5:15,6:31,12:34,15:56,18:30,19:43
25,25/1/2017,5:05,5:15,6:31,12:35,15:56,18:31,19:43
26,26/1/2017,5:06,5:16,6:32,12:35,15:56,18:31,19:43
27,27/1/2017,5:06,5:16,6:32,12:35,15:56,18:31,19:43
28,28/1/2017,5:06,5:16,6:32,12:35,15:57,18:31,19:44
29,29/1/2017,5:06,5:16,6:32,12:35,15:57,18:32,19:44
30,30/1/2017,5:07,5:17,6:32,12:36,15:57,18:32,19:44
31,31/1/2017,5:07,5:17,6:32,12:36,15:57,18:32,19:44
32,1/2/2017,5:07,5:17,6:32,12:36,15:57,18:32,19:44
33,2/2/2017,5:07,5:17,6:32,12:36,15:57,18:33,19:44
34,3/2/2017,5:07,5:17,6:32,12:36,15:57,18:33,19:44
35,4/2/2017,5:07,5:17,6:32,12:36,15:57,18:33,19:45
36,5/2/2017,5:07,5:17,6:32,12:36,15:57,18:33,19:45
37,6/2/2017,5:07,5:17,6:32,12:36,15:57,18:33,19:45
38,7/2/2017,5:08,5:18,6:32,12:36,15:57,18:34,19:45
39,8/2/2017,5:08,5:18,6:32,12:36,15:57,18:34,19:45
40,9/2/2017,5:08,5:18,6:32,12:36,15:57,18:34,19:45
41,10/2/2017,5:08,5:18,6:32,12:36,15:56,18:34,19:45
42,11/2/2017,5:08,5:18,6:32,12:36,15:56,18:34,19:45
