,,,,,,,,
,,,,,,,,
"  Zon : Zon 2 - Niah, Bekenu, Miri, Sibuti, Marudi",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,4:59,5:09,6:27,12:30,15:53,18:26,19:41
2,2/1/2017,4:59,5:09,6:28,12:31,15:53,18:27,19:41
3,3/1/2017,5:00,5:10,6:28,12:31,15:54,18:27,19:42
4,4/1/2017,5:00,5:10,6:28,12:32,15:54,18:28,19:42
5,5/1/2017,5:01,5:11,6:29,12:32,15:55,18:28,19:43
6,6/1/2017,5:01,5:11,6:29,12:33,15:55,18:29,19:43
7,7/1/2017,5:02,5:12,6:30,12:33,15:55,18:29,19:43
8,8/1/2017,5:02,5:12,6:30,12:33,15:56,18:30,19:44
9,9/1/2017,5:03,5:13,6:30,12:34,15:56,18:30,19:44
10,10/1/2017,5:03,5:13,6:31,12:34,15:57,18:31,19:45
11,11/1/2017,5:04,5:14,6:31,12:35,15:57,18:31,19:45
12,12/1/2017,5:04,5:14,6:32,12:35,15:57,18:31,19:45
13,13/1/2017,5:04,5:14,6:32,12:35,15:58,18:32,19:46
14,14/1/2017,5:05,5:15,6:32,12:36,15:58,18:32,19:46
15,15/1/2017,5:05,5:15,6:32,12:36,15:58,18:33,19:46
16,16/1/2017,5:06,5:16,6:33,12:36,15:59,18:33,19:47
17,17/1/2017,5:06,5:16,6:33,12:37,15:59,18:33,19:47
18,18/1/2017,5:06,5:16,6:33,12:37,15:59,18:34,19:47
19,19/1/2017,5:07,5:17,6:34,12:37,16:00,18:34,19:47
20,20/1/2017,5:07,5:17,6:34,12:38,16:00,18:35,19:48
21,21/1/2017,5:07,5:17,6:34,12:38,16:00,18:35,19:48
22,22/1/2017,5:08,5:18,6:34,12:38,16:00,18:35,19:48
23,23/1/2017,5:08,5:18,6:34,12:39,16:00,18:36,19:48
24,24/1/2017,5:08,5:18,6:35,12:39,16:01,18:36,19:49
25,25/1/2017,5:09,5:19,6:35,12:39,16:01,18:36,19:49
26,26/1/2017,5:09,5:19,6:35,12:39,16:01,18:36,19:49
27,27/1/2017,5:09,5:19,6:35,12:39,16:01,18:37,19:49
28,28/1/2017,5:09,5:19,6:35,12:40,16:01,18:37,19:49
29,29/1/2017,5:10,5:20,6:35,12:40,16:01,18:37,19:49
30,30/1/2017,5:10,5:20,6:35,12:40,16:01,18:38,19:50
31,31/1/2017,5:10,5:20,6:35,12:40,16:01,18:38,19:50
32,1/2/2017,5:10,5:20,6:35,12:40,16:01,18:38,19:50
33,2/2/2017,5:10,5:20,6:35,12:40,16:01,18:38,19:50
34,3/2/2017,5:11,5:21,6:36,12:41,16:01,18:38,19:50
35,4/2/2017,5:11,5:21,6:36,12:41,16:01,18:39,19:50
36,5/2/2017,5:11,5:21,6:36,12:41,16:01,18:39,19:50
37,6/2/2017,5:11,5:21,6:36,12:41,16:01,18:39,19:50
38,7/2/2017,5:11,5:21,6:35,12:41,16:01,18:39,19:50
39,8/2/2017,5:11,5:21,6:35,12:41,16:01,18:39,19:50
40,9/2/2017,5:11,5:21,6:35,12:41,16:01,18:39,19:50
41,10/2/2017,5:11,5:21,6:35,12:41,16:01,18:39,19:50
42,11/2/2017,5:11,5:21,6:35,12:41,16:01,18:39,19:50
