,,,,,,,,
,,,,,,,,
"  Zon : Zon 3 - Tatau, Suai, Belaga, Pandan, Sebauh, Bintulu",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,5:01,5:11,6:29,12:34,15:57,18:31,19:46
2,2/1/2017,5:01,5:11,6:29,12:34,15:57,18:32,19:46
3,3/1/2017,5:02,5:12,6:30,12:35,15:58,18:32,19:47
4,4/1/2017,5:02,5:12,6:30,12:35,15:58,18:33,19:47
5,5/1/2017,5:03,5:13,6:31,12:36,15:59,18:33,19:48
6,6/1/2017,5:03,5:13,6:31,12:36,15:59,18:34,19:48
7,7/1/2017,5:04,5:14,6:31,12:36,15:59,18:34,19:48
8,8/1/2017,5:04,5:14,6:32,12:37,16:00,18:35,19:49
9,9/1/2017,5:04,5:14,6:32,12:37,16:00,18:35,19:49
10,10/1/2017,5:05,5:15,6:33,12:38,16:01,18:36,19:50
11,11/1/2017,5:05,5:15,6:33,12:38,16:01,18:36,19:50
12,12/1/2017,5:06,5:16,6:33,12:38,16:01,18:36,19:50
13,13/1/2017,5:06,5:16,6:34,12:39,16:02,18:37,19:51
14,14/1/2017,5:07,5:17,6:34,12:39,16:02,18:37,19:51
15,15/1/2017,5:07,5:17,6:34,12:40,16:02,18:38,19:51
16,16/1/2017,5:08,5:18,6:35,12:40,16:02,18:38,19:52
17,17/1/2017,5:08,5:18,6:35,12:40,16:03,18:38,19:52
18,18/1/2017,5:08,5:18,6:35,12:41,16:03,18:39,19:52
19,19/1/2017,5:09,5:19,6:35,12:41,16:03,18:39,19:52
20,20/1/2017,5:09,5:19,6:36,12:41,16:04,18:39,19:53
21,21/1/2017,5:09,5:19,6:36,12:41,16:04,18:40,19:53
22,22/1/2017,5:10,5:20,6:36,12:42,16:04,18:40,19:53
23,23/1/2017,5:10,5:20,6:36,12:42,16:04,18:40,19:53
24,24/1/2017,5:10,5:20,6:37,12:42,16:04,18:41,19:53
25,25/1/2017,5:11,5:21,6:37,12:42,16:04,18:41,19:54
26,26/1/2017,5:11,5:21,6:37,12:43,16:05,18:41,19:54
27,27/1/2017,5:11,5:21,6:37,12:43,16:05,18:41,19:54
28,28/1/2017,5:12,5:22,6:37,12:43,16:05,18:42,19:54
29,29/1/2017,5:12,5:22,6:37,12:43,16:05,18:42,19:54
30,30/1/2017,5:12,5:22,6:37,12:43,16:05,18:42,19:54
31,31/1/2017,5:12,5:22,6:38,12:44,16:05,18:42,19:54
32,1/2/2017,5:12,5:22,6:38,12:44,16:05,18:43,19:54
33,2/2/2017,5:13,5:23,6:38,12:44,16:05,18:43,19:54
34,3/2/2017,5:13,5:23,6:38,12:44,16:05,18:43,19:55
35,4/2/2017,5:13,5:23,6:38,12:44,16:05,18:43,19:55
36,5/2/2017,5:13,5:23,6:38,12:44,16:05,18:43,19:55
37,6/2/2017,5:13,5:23,6:38,12:44,16:05,18:43,19:55
38,7/2/2017,5:13,5:23,6:38,12:44,16:04,18:44,19:55
39,8/2/2017,5:13,5:23,6:38,12:44,16:04,18:44,19:55
40,9/2/2017,5:14,5:24,6:38,12:44,16:04,18:44,19:55
41,10/2/2017,5:14,5:24,6:38,12:44,16:04,18:44,19:55
