,,,,,,,,
,,,,,,,,
"  Zon : Zon 4 - Igan, Oya, Balingian, Mukah, Dalat, Sibu, Kanowit, Kapit, Song",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,5:05,5:15,6:33,12:38,16:01,18:36,19:51
2,2/1/2017,5:06,5:16,6:34,12:39,16:02,18:37,19:51
3,3/1/2017,5:06,5:16,6:34,12:39,16:02,18:37,19:52
4,4/1/2017,5:07,5:17,6:35,12:40,16:03,18:38,19:52
5,5/1/2017,5:07,5:17,6:35,12:40,16:03,18:38,19:52
6,6/1/2017,5:08,5:18,6:36,12:41,16:04,18:39,19:53
7,7/1/2017,5:08,5:18,6:36,12:41,16:04,18:39,19:53
8,8/1/2017,5:09,5:19,6:36,12:42,16:04,18:39,19:54
9,9/1/2017,5:09,5:19,6:37,12:42,16:05,18:40,19:54
10,10/1/2017,5:10,5:20,6:37,12:42,16:05,18:40,19:54
11,11/1/2017,5:10,5:20,6:38,12:43,16:06,18:41,19:55
12,12/1/2017,5:10,5:20,6:38,12:43,16:06,18:41,19:55
13,13/1/2017,5:11,5:21,6:38,12:43,16:06,18:42,19:55
14,14/1/2017,5:11,5:21,6:39,12:44,16:07,18:42,19:56
15,15/1/2017,5:12,5:22,6:39,12:44,16:07,18:42,19:56
16,16/1/2017,5:12,5:22,6:39,12:45,16:07,18:43,19:56
17,17/1/2017,5:13,5:23,6:39,12:45,16:07,18:43,19:57
18,18/1/2017,5:13,5:23,6:40,12:45,16:08,18:43,19:57
19,19/1/2017,5:13,5:23,6:40,12:46,16:08,18:44,19:57
20,20/1/2017,5:14,5:24,6:40,12:46,16:08,18:44,19:57
21,21/1/2017,5:14,5:24,6:41,12:46,16:08,18:45,19:57
22,22/1/2017,5:14,5:24,6:41,12:46,16:09,18:45,19:58
23,23/1/2017,5:15,5:25,6:41,12:47,16:09,18:45,19:58
24,24/1/2017,5:15,5:25,6:41,12:47,16:09,18:45,19:58
25,25/1/2017,5:15,5:25,6:41,12:47,16:09,18:46,19:58
26,26/1/2017,5:16,5:26,6:42,12:47,16:09,18:46,19:58
27,27/1/2017,5:16,5:26,6:42,12:48,16:09,18:46,19:59
28,28/1/2017,5:16,5:26,6:42,12:48,16:09,18:46,19:59
29,29/1/2017,5:16,5:26,6:42,12:48,16:09,18:47,19:59
30,30/1/2017,5:17,5:27,6:42,12:48,16:10,18:47,19:59
31,31/1/2017,5:17,5:27,6:42,12:48,16:10,18:47,19:59
32,1/2/2017,5:17,5:27,6:42,12:48,16:10,18:47,19:59
33,2/2/2017,5:17,5:27,6:42,12:48,16:10,18:48,19:59
34,3/2/2017,5:17,5:27,6:42,12:49,16:09,18:48,19:59
35,4/2/2017,5:18,5:28,6:42,12:49,16:09,18:48,19:59
36,5/2/2017,5:18,5:28,6:42,12:49,16:09,18:48,19:59
37,6/2/2017,5:18,5:28,6:42,12:49,16:09,18:48,19:59
38,7/2/2017,5:18,5:28,6:42,12:49,16:09,18:48,19:59
39,8/2/2017,5:18,5:28,6:42,12:49,16:09,18:48,19:59
40,9/2/2017,5:18,5:28,6:42,12:49,16:09,18:48,19:59
41,10/2/2017,5:18,5:28,6:42,12:49,16:09,18:49,19:59
