,,,,,,,,
,,,,,,,,
"  Zon : Zon 5 - Tanjung Manis, Belawai, Matu, Daro, Sarikei, Julau, Bintangor, Rajang",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,5:06,5:16,6:34,12:40,16:04,18:39,19:54
2,2/1/2017,5:07,5:17,6:35,12:41,16:04,18:40,19:54
3,3/1/2017,5:07,5:17,6:35,12:41,16:05,18:40,19:55
4,4/1/2017,5:08,5:18,6:36,12:42,16:05,18:41,19:55
5,5/1/2017,5:08,5:18,6:36,12:42,16:05,18:41,19:55
6,6/1/2017,5:09,5:19,6:37,12:43,16:06,18:41,19:56
7,7/1/2017,5:09,5:19,6:37,12:43,16:06,18:42,19:56
8,8/1/2017,5:10,5:20,6:37,12:43,16:07,18:42,19:57
9,9/1/2017,5:10,5:20,6:38,12:44,16:07,18:43,19:57
10,10/1/2017,5:10,5:20,6:38,12:44,16:07,18:43,19:57
11,11/1/2017,5:11,5:21,6:39,12:45,16:08,18:44,19:58
12,12/1/2017,5:11,5:21,6:39,12:45,16:08,18:44,19:58
13,13/1/2017,5:12,5:22,6:39,12:45,16:08,18:44,19:58
14,14/1/2017,5:12,5:22,6:40,12:46,16:09,18:45,19:59
15,15/1/2017,5:13,5:23,6:40,12:46,16:09,18:45,19:59
16,16/1/2017,5:13,5:23,6:40,12:46,16:09,18:46,19:59
17,17/1/2017,5:14,5:24,6:41,12:47,16:10,18:46,19:59
18,18/1/2017,5:14,5:24,6:41,12:47,16:10,18:46,20:00
19,19/1/2017,5:14,5:24,6:41,12:47,16:10,18:47,20:00
20,20/1/2017,5:15,5:25,6:41,12:48,16:10,18:47,20:00
21,21/1/2017,5:15,5:25,6:42,12:48,16:10,18:47,20:00
22,22/1/2017,5:15,5:25,6:42,12:48,16:11,18:48,20:01
23,23/1/2017,5:16,5:26,6:42,12:49,16:11,18:48,20:01
24,24/1/2017,5:16,5:26,6:42,12:49,16:11,18:48,20:01
25,25/1/2017,5:16,5:26,6:42,12:49,16:11,18:48,20:01
26,26/1/2017,5:17,5:27,6:43,12:49,16:11,18:49,20:01
27,27/1/2017,5:17,5:27,6:43,12:49,16:11,18:49,20:01
28,28/1/2017,5:17,5:27,6:43,12:50,16:11,18:49,20:01
29,29/1/2017,5:18,5:28,6:43,12:50,16:11,18:49,20:02
30,30/1/2017,5:18,5:28,6:43,12:50,16:11,18:50,20:02
31,31/1/2017,5:18,5:28,6:43,12:50,16:11,18:50,20:02
32,1/2/2017,5:18,5:28,6:43,12:50,16:11,18:50,20:02
33,2/2/2017,5:18,5:28,6:44,12:50,16:11,18:50,20:02
34,3/2/2017,5:19,5:29,6:44,12:51,16:11,18:50,20:02
35,4/2/2017,5:19,5:29,6:44,12:51,16:11,18:50,20:02
36,5/2/2017,5:19,5:29,6:44,12:51,16:11,18:51,20:02
37,6/2/2017,5:19,5:29,6:44,12:51,16:11,18:51,20:02
38,7/2/2017,5:19,5:29,6:44,12:51,16:11,18:51,20:02
39,8/2/2017,5:19,5:29,6:44,12:51,16:11,18:51,20:02
40,9/2/2017,5:19,5:29,6:44,12:51,16:11,18:51,20:02
41,10/2/2017,5:20,5:30,6:44,12:51,16:10,18:51,20:02
