,,,,,,,,
,,,,,,,,
"  Zon : Zon 7 - Samarahan, Simunjan, Serian, Sebuyau, Meludam",,,,,,,,
,,,,,,,,
  Jumlah Rekod Tahun 2017 di dalam dokumen ini : 365,,,,,,,,
,,,,,,,,
Bil,Tarikh,imsak,subuh,syuruk,zohor,asar,maghrib,isyak
1,1/1/2017,5:08,5:18,6:36,12:43,16:07,18:43,19:58
2,2/1/2017,5:08,5:18,6:36,12:44,16:07,18:44,19:58
3,3/1/2017,5:09,5:19,6:37,12:44,16:08,18:44,19:59
4,4/1/2017,5:09,5:19,6:37,12:45,16:08,18:45,19:59
5,5/1/2017,5:10,5:20,6:38,12:45,16:09,18:45,20:00
6,6/1/2017,5:10,5:20,6:38,12:46,16:09,18:46,20:00
7,7/1/2017,5:11,5:21,6:39,12:46,16:10,18:46,20:00
8,8/1/2017,5:11,5:21,6:39,12:46,16:10,18:47,20:01
9,9/1/2017,5:12,5:22,6:39,12:47,16:10,18:47,20:01
10,10/1/2017,5:12,5:22,6:40,12:47,16:11,18:47,20:01
11,11/1/2017,5:13,5:23,6:40,12:48,16:11,18:48,20:02
12,12/1/2017,5:13,5:23,6:41,12:48,16:11,18:48,20:02
13,13/1/2017,5:14,5:24,6:41,12:48,16:12,18:49,20:02
14,14/1/2017,5:14,5:24,6:41,12:49,16:12,18:49,20:03
15,15/1/2017,5:14,5:24,6:42,12:49,16:12,18:49,20:03
16,16/1/2017,5:15,5:25,6:42,12:49,16:12,18:50,20:03
17,17/1/2017,5:15,5:25,6:42,12:50,16:13,18:50,20:03
18,18/1/2017,5:16,5:26,6:43,12:50,16:13,18:50,20:04
19,19/1/2017,5:16,5:26,6:43,12:50,16:13,18:51,20:04
20,20/1/2017,5:16,5:26,6:43,12:51,16:13,18:51,20:04
21,21/1/2017,5:17,5:27,6:43,12:51,16:14,18:51,20:04
22,22/1/2017,5:17,5:27,6:44,12:51,16:14,18:52,20:05
23,23/1/2017,5:18,5:28,6:44,12:52,16:14,18:52,20:05
24,24/1/2017,5:18,5:28,6:44,12:52,16:14,18:52,20:05
25,25/1/2017,5:18,5:28,6:44,12:52,16:14,18:52,20:05
26,26/1/2017,5:19,5:29,6:45,12:52,16:14,18:53,20:05
27,27/1/2017,5:19,5:29,6:45,12:52,16:14,18:53,20:05
28,28/1/2017,5:19,5:29,6:45,12:53,16:14,18:53,20:05
29,29/1/2017,5:19,5:29,6:45,12:53,16:14,18:53,20:05
30,30/1/2017,5:20,5:30,6:45,12:53,16:14,18:54,20:06
31,31/1/2017,5:20,5:30,6:45,12:53,16:14,18:54,20:06
32,1/2/2017,5:20,5:30,6:45,12:53,16:14,18:54,20:06
33,2/2/2017,5:20,5:30,6:46,12:53,16:14,18:54,20:06
34,3/2/2017,5:21,5:31,6:46,12:53,16:14,18:54,20:06
35,4/2/2017,5:21,5:31,6:46,12:54,16:14,18:54,20:06
36,5/2/2017,5:21,5:31,6:46,12:54,16:14,18:54,20:06
37,6/2/2017,5:21,5:31,6:46,12:54,16:14,18:54,20:06
38,7/2/2017,5:21,5:31,6:46,12:54,16:14,18:55,20:06
39,8/2/2017,5:21,5:31,6:46,12:54,16:14,18:55,20:06
40,9/2/2017,5:22,5:32,6:46,12:54,16:13,18:55,20:06
41,10/2/2017,5:22,5:32,6:46,12:54,16:13,18:55,20:06
42,11/2/2017,5:22,5:32,6:46,12:54,16:13,18:55,20:06
